"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"10/01/2023 02:00:00 - 10/01/2023 03:00:00","BZN|SE4","Without sequence","78.82","",""
"10/01/2023 03:00:00 - 10/01/2023 04:00:00","BZN|SE4","Without sequence","80.06","",""
"10/01/2023 04:00:00 - 10/01/2023 05:00:00","BZN|SE4","Without sequence","83.16","",""
"10/01/2023 05:00:00 - 10/01/2023 06:00:00","BZN|SE4","Without sequence","91.02","",""
"10/01/2023 06:00:00 - 10/01/2023 07:00:00","BZN|SE4","Without sequence","134.81","",""
"10/01/2023 07:00:00 - 10/01/2023 08:00:00","BZN|SE4","Without sequence","151.02","",""
"10/01/2023 08:00:00 - 10/01/2023 09:00:00","BZN|SE4","Without sequence","161.36","",""
"10/01/2023 09:00:00 - 10/01/2023 10:00:00","BZN|SE4","Without sequence","156.57","",""
"10/01/2023 10:00:00 - 10/01/2023 11:00:00","BZN|SE4","Without sequence","151.02","",""
"10/01/2023 11:00:00 - 10/01/2023 12:00:00","BZN|SE4","Without sequence","142.94","",""
"10/01/2023 12:00:00 - 10/01/2023 13:00:00","BZN|SE4","Without sequence","140.07","",""
"10/01/2023 13:00:00 - 10/01/2023 14:00:00","BZN|SE4","Without sequence","139.97","",""
"10/01/2023 14:00:00 - 10/01/2023 15:00:00","BZN|SE4","Without sequence","141.92","",""
"10/01/2023 15:00:00 - 10/01/2023 16:00:00","BZN|SE4","Without sequence","142.42","",""
"10/01/2023 16:00:00 - 10/01/2023 17:00:00","BZN|SE4","Without sequence","139.31","",""
"10/01/2023 17:00:00 - 10/01/2023 18:00:00","BZN|SE4","Without sequence","142.83","",""
"10/01/2023 18:00:00 - 10/01/2023 19:00:00","BZN|SE4","Without sequence","137.08","",""
"10/01/2023 19:00:00 - 10/01/2023 20:00:00","BZN|SE4","Without sequence","121.46","",""
"10/01/2023 20:00:00 - 10/01/2023 21:00:00","BZN|SE4","Without sequence","105.64","",""
"10/01/2023 21:00:00 - 10/01/2023 22:00:00","BZN|SE4","Without sequence","86.53","",""
"10/01/2023 22:00:00 - 10/01/2023 23:00:00","BZN|SE4","Without sequence","79.35","",""
"10/01/2023 23:00:00 - 11/01/2023 00:00:00","BZN|SE4","Without sequence","55.77","",""
"11/01/2023 00:00:00 - 11/01/2023 01:00:00","BZN|SE4","Without sequence","42.03","",""
"11/01/2023 01:00:00 - 11/01/2023 02:00:00","BZN|SE4","Without sequence","27.73","",""
"11/01/2023 02:00:00 - 11/01/2023 03:00:00","BZN|SE4","Without sequence","25.17","",""
"11/01/2023 03:00:00 - 11/01/2023 04:00:00","BZN|SE4","Without sequence","22.57","",""
"11/01/2023 04:00:00 - 11/01/2023 05:00:00","BZN|SE4","Without sequence","25.49","",""
"11/01/2023 05:00:00 - 11/01/2023 06:00:00","BZN|SE4","Without sequence","26.6","",""
"11/01/2023 06:00:00 - 11/01/2023 07:00:00","BZN|SE4","Without sequence","48.54","",""
"11/01/2023 07:00:00 - 11/01/2023 08:00:00","BZN|SE4","Without sequence","71.49","",""
"11/01/2023 08:00:00 - 11/01/2023 09:00:00","BZN|SE4","Without sequence","72.71","",""
"11/01/2023 09:00:00 - 11/01/2023 10:00:00","BZN|SE4","Without sequence","69.96","",""
"11/01/2023 10:00:00 - 11/01/2023 11:00:00","BZN|SE4","Without sequence","68.89","",""
"11/01/2023 11:00:00 - 11/01/2023 12:00:00","BZN|SE4","Without sequence","69.29","",""
"11/01/2023 12:00:00 - 11/01/2023 13:00:00","BZN|SE4","Without sequence","68.86","",""
"11/01/2023 13:00:00 - 11/01/2023 14:00:00","BZN|SE4","Without sequence","66.8","",""
"11/01/2023 14:00:00 - 11/01/2023 15:00:00","BZN|SE4","Without sequence","69.52","",""
"11/01/2023 15:00:00 - 11/01/2023 16:00:00","BZN|SE4","Without sequence","75.91","",""
"11/01/2023 16:00:00 - 11/01/2023 17:00:00","BZN|SE4","Without sequence","116.34","",""
"11/01/2023 17:00:00 - 11/01/2023 18:00:00","BZN|SE4","Without sequence","128.28","",""
"11/01/2023 18:00:00 - 11/01/2023 19:00:00","BZN|SE4","Without sequence","106.48","",""
"11/01/2023 19:00:00 - 11/01/2023 20:00:00","BZN|SE4","Without sequence","67.99","",""
"11/01/2023 20:00:00 - 11/01/2023 21:00:00","BZN|SE4","Without sequence","65.16","",""
"11/01/2023 21:00:00 - 11/01/2023 22:00:00","BZN|SE4","Without sequence","60.01","",""
